\mathit{\vartheta},angle,statistical parameter,temperature parameter,theta-optimal adaptive control algorithm,geometric phase
\mathit{\varkappa},curvature parameter,Curie temperature,frictionless coefficients,proton-proton collisions,momentum of carriers
\mathit{\phi},electric potential, golden ratio, azimuthal angle, eigenvalue
\mathit{\varrho},density,correlation coefficient,resistivity,material density,mass density
\mathit{\varpi},frequency,algebraic integer,Weierstrass elliptic function,Cartan matrix
\bm{\Alpha},angle,acceleration constant,area swept,ratio of specific heats,angular acceleration
\bm{\Beta},Beta decay,Bandit,Blackwell,Baysian,vector
\bm{\Gamma},matrix,statistical variable,measured quantity,spectrum,statistical distribution
\bm{\Delta},laplace operator,change in variable,difference operator,heat equation gradient
\bm{\Epsilon},strain tensor, elastic modulus, permittivity tensor, Young's modulus, stressstrain curve
\bm{\Zeta},Riemann zeta function, critical strip, zeta distribution, zeta potential, zeta regularization
\bm{\Eta},stress tensor,eta-smoothing,gravitational wave,effect size,mathematician
\bm{\Theta},angle,parameter,vector field,parameter space,angular frequency
\bm{\Iota},vector,variable parameter,specific volume,material constant,velocity
\bm{\Kappa},curvature tensor, compressibility, dielectric constant, wave number, conductivity
\bm{\Lambda},eigenvalue,regular representation,reduced eigenvalue decomposition,conformable matrix,vector bundle
\bm{\Mu},vector mean,statistical mean,estimated mean,empirical mean,natural frequency
\bm{\Nu},Nusselt number,non-dimensional number in fluid mechanics,natural convection,ratio of convective to conductive heat transfer coefficients,heat transfer
\bm{\Xi},Xi,vector,potential flow,PDF,gravitational potential
\bm{\Omicron},asymptotic notation,hierarchical clustering,upper bound analysis,complexity theory,computer science
\bm{\Pi},electric potential,projective space,power,product symbol,dimensionless quantity
\bm{\Rho},stress tensor, correlation coefficient, rotation matrix, conductivity tensor, resistance matrix
\bm{\varTheta},angle,temperature,theta,transfer function,thermodynamic potential
\bm{\Sigma},covariance matrix,standard deviation,positive semidefinite matrix,quadratic form,principal component analysis
\bm{\Tau},stress tensor Cauchy stress tensor, plastic strain rate tensor, rate of deformation tensor
\bm{\Upsilon},eigenvalue,eigenvector,determinant,singular value,transpose
\bm{\Phi},magnetic flux,magnetic potential function,phase difference,azimuthal angle,field of characteristic functions
\bm{\Chi},chi,polytope,polyhedron,chi-square test,characteristic function
\bm{\Psi},wave function, magnetic field, quantum state, eigenfunction, wave packet
\bm{\Omega},angular velocity,vector potential,rotation operator,solid angle,complex frequency
\bm{\nabla},gradient vector,del operator,divergence,no dimensions,vector field
\bm{\alpha},angle,rotation matrix,angular acceleration,statistical significance level,angular frequency
\bm{\beta},vector,matrix,regression coefficient,statistical parameter,learning rate
\bm{\gamma},Lorentz factor, Euler's gamma constant, gamma function, gamma distribution, gamma ray
\bm{\delta},delta function,differential change,small perturbation,infinitesimal displacement,discrete time step
\bm{\varepsilon},stress tensor,strain tensor,material strain,permittivity tensor,principal strain
\bm{\zeta},Riemann zeta function,curve Riemann zeta function,complex Riemann zeta function,value of Riemann zeta function,Riemann zeta function zeros
\bm{\eta},vector,parameter,field,statistic,function
\bm{\theta},angle,parameter,rotation,value-in-dimension-space
\bm{\iota},unit imaginary number,imaginary unit vector,imaginary unit quantity,imaginary unit coefficient
\bm{\kappa},curvature,compressibility,kappa,condition number,contrast
\bm{\lambda},eigenvalue, Lagrange multiplier, wavelength, Lebesgue measure, decay rate
\bm{\mu},mean,statistical parameter,average value,probability measure,vector mean
\bm{\nu},frequency,velocity of light,kinematic viscosity,statistical parameter,stoichiometric coefficient
\bm{\xi},Euler's totient function,xi coordinate,correlation coefficient,distribution function,vector of parameters
\bm{\omicron},vector,parameter,field variable,loss coefficient,particle position
\bm{\pi},circle area,half-circle circumference,trigonometric functions,iid normal distribution,entropy formula
\bm{\rho},density,position vector,correlation coefficient,polar coordinate radius,vector field
\bm{\varsigma},greek alphabet letter,number theory,statistical physics,closed-loop response,logistic map
\bm{\sigma},stress tensor,stress,strain,radius vector,deviatoric stress
\bm{\tau},torque,stress tensor,torsional constant,shear stress magnitude,tau meson
\bm{\upsilon},velocity,vector field,fluid velocity,velocity gradient,particles' velocities
\bm{\varphi},angle,radian,deformation gradient,torsion,phase contrast
\bm{\chi},chi,statistical mechanics,susceptibility,phase transition,symmetric group
\bm{\psi},wave function,quantum mechanics,magnetic flux,number theory,schrodinger equation
\bm{\omega},angular velocity,circular frequency,rest frequency,angular frequency,gamma-factor
\bm{\partial},partial derivative, gradient vector, partial differential equation, partial order relation, partial sum
\bm{\epsilon},strain,permittivity,error,small quantity,dielectric constant
\bm{\vartheta},angle,rotation,angular velocity,delta angle,theta
\bm{\varkappa},curvature,torsion,deformation,quantum field theory,nonabelian gauge theory
\bm{\phi},phase angle,quantum phase,electric potential function,polar angle,angular coordinate
\bm{\varrho},density vector,memoryless property,pearson correlation coefficient,shape parameter
\bm{\varpi},omega, angular frequency, D'Alembert operator, Weierstrass p-function, polygon with a given perimeter
\bm{\mathss{\Alpha}},Greek letter,alphaabisquare,approximatly_EQUALangstrom
\bm{\mathss{\Beta}},covariance matrix,scale parameter,distribution parameter,fraction of correct spots,coefficients for multivariate normal distribution
\bm{\mathss{\Gamma}},gamma function, gamma distribution, gamma ray, Gamow-Teller transition, 1D wave vector
\bm{\mathss{\Delta}},delta,change in quantity,difference operator,vector increment,triangular inequality
\bm{\mathss{\Epsilon}},strain tensor,stress tensor,shear strain,principal strain,elastic modulus
\bm{\mathss{\Zeta}},Riemann zeta function,Riemann's zeta function,Hurwitz zeta function,Hurwitz's zeta function,partial zeta function
\bm{\mathss{\Eta}},statistics,bivariate normal distribution,upper error rate,bias error rate,elementary particle mass
\bm{\mathss{\Theta}},angle, rotation matrix, solid angle, Lagrangian,  magnetic field
\bm{\mathss{\Iota}},vector potential,electric field,rotation operator,magnetization vector,exchange parameter
\bm{\mathss{\Kappa}},curvature tensor,quantum optics,material bending stiffness,torsional constant,surface curvature
\bm{\mathss{\Lambda}},magnetic flux,cosmological constant,triangular lattice vector,de Broglie wavelength
\bm{\mathss{\Mu}},moment,viscosity,mass flux density,current density,bool_μ
\bm{\mathss{\Nu}},Nusselt number,non-uniform,neutrino concentration,nearest neighbor network,non-unitary
\bm{\mathss{\Xi}},Xi-function,macroscopic friction coefficient,special spatially periodic Xi-functions,indicatrix tensorsxi-functions
\bm{\mathss{\Omicron}},big-O notation,order of convergence,complexity class,error term,vector space
\bm{\mathss{\Pi}},circumference,prime counting function,specific rotation,parameter involute,period scatter
\bm{\mathss{\Rho}},varies,pearson correlation coefficient,fluid density,electric charge density,ionic charge density
\bm{\mathss{\varTheta}},expectation,thermal resistance,phase angle,solid angle,torque
\bm{\mathss{\Sigma}},covariance matrix,sample space,surface area,symmetric matrix,significance level
\bm{\mathss{\Tau}},cross-section, torsion, torque, material parameter
\bm{\mathss{\Upsilon}},eigenvalue,grading,statistics,polynomial,flux
\bm{\mathss{\Phi}},electric flux, magnetic flux, probability density function, potential function, phase difference
\bm{\mathss{\Chi}},characteristic function, chromatic number, cumulant generating function, noncentral chi-squared distribution, distribution of a Chi-squared random variable
\bm{\mathss{\Psi}},wave function,quantum mechanics,complex scalar field theory,general relativity,quantum field theory
\bm{\mathss{\Omega}},angular velocity,electricity and magnetism,angular frequency,solid angle,omega constant
\bm{\mathss{\nabla}},gradient,vector field,symbol operator,natural transformation
\bm{\mathss{\alpha}},matrix line search method,gradient-based optimization algorithm,Lipschitz continuous function,quadratic programming problem,conjugate gradient method
\bm{\mathss{\beta}},vector,kernel,characteristic polynomial,function
\bm{\mathss{\gamma}},vector,matrix,eigenvalue,function
\bm{\mathss{\delta}},differential operator,infinitesimal change,vector displacement,Dirac delta function,Boltzmann constant
\bm{\mathss{\varepsilon}},stress tensor, material property, strain, elasticity constant
\bm{\mathss{\zeta}},Riemann zeta function, complex variable, critical line, integer, positive real number
\bm{\mathss{\eta}},velocity potential function,viscosity,surface tension,eta particles,angular frequency
\bm{\mathss{\theta}},angular position,torque angle,latent period,acoustic surface wave,significant wave height
\bm{\mathss{\iota}},unit imaginary number,vector index,initial binary value,set of positive integers
\bm{\mathss{\kappa}},curvature,spin susceptibility,compressibility,microscopic effects
\bm{\mathss{\lambda}},eigenvalue,damping ratio,wavelength,rate parameter,compliance
\bm{\mathss{\mu}},mean, magnetic moment, magnetic permeability, micrometer, micron
\bm{\mathss{\nu}},vibration,wave number,viscosity,vector,velocity
\bm{\mathss{\xi}},vector field,frequency,hybrid optimization algorithm,nonlinear transformation matrix,chi-square random variable
\bm{\mathss{\omicron}},convergence rate,complexity,iteration complexity,order of convergence,error term
\bm{\mathss{\pi}},constant,circle ratio,phase,to represent a number,angle
\bm{\mathss{\rho}},density,correlation coefficient,position vector,distance between two points,electric charge density
\bm{\mathss{\varsigma}},unit vector,parameter space,smaller variance,vector field,geometrically similar
\bm{\mathss{\sigma}},stress tensor,stress-strain relationship,deviatoric stress,tensile stress,principal stress
\bm{\mathss{\tau}},torque, shear stress, relaxation time, twisting moment, tau tensor
\bm{\mathss{\upsilon}},velocity,mean velocity,mean square velocity,kinetic energy,particle energy
\bm{\mathss{\varphi}},phase shift,angle of rotation,flux,quantum phase,statistical potential
\bm{\mathss{\chi}},eigenvalue,chi-square distribution,line of sight,compact Hausdorff space,electric susceptibility
\bm{\mathss{\psi}},wave function,quantum mechanics,spin angular momentum,vector potential
\bm{\mathss{\omega}},angular velocity,vector potential,omega meson,wave frequency,twisting parameter
\bm{\mathss{\partial}},partial derivative,curvature tensor,gradient vector,polynomial coefficients,holomorphic function
\bm{\mathss{\epsilon}},permittivity, strain tensor, error term, small positive number, material property
\bm{\mathss{\vartheta}},angle,theta parameter,rotation angle,measures of angles,unit vector
\bm{\mathss{\varkappa}},curvature tensor,friction coefficient,Kelvin-Voigt material model,rate of strain tensor,strain rate tensor
\bm{\mathss{\phi}},angle,phase shift,field potential,electric potential,current phase
\bm{\mathss{\varrho}},electric resistivity, fluid density, circumference, Pearson correlation coefficient
\bm{\mathss{\varpi}},angular frequency,circular frequency,precession rate,quantum potential,rotational frequency
\bm{\mathssit{\Alpha}},matrix,multiplier vector
\bm{\mathssit{\Beta}},beta,asset beta,statistical beta,capital asset pricing model,correlation coefficient
\bm{\mathssit{\Gamma}},gamma,distribution function,constant matrix,vector space,group theory
\bm{\mathssit{\Delta}},laplacian operator,hypotenuse length,difference operator,increment operator,discrete set
